					max_d_1 	 mean_d_1 	 max_plane_d_1 	 mean_plane_d_1 	 max_d_2 	 mean_d_2 	 max_plane_d_2 	 mean_plane_d_2


data1
mean10_max90		1.063381 	 0.611883  	  0.586830    	    0.144693    	 4.068933 	 1.968947 	   4.005548 	   1.799182

data13
mean100_max0		1.025051 	 0.558660  	  0.280079    	    0.057803    	 1.059691 	 0.553675 	   0.277342 	   0.056426
mean90_max10		1.077538 	 0.553433  	  0.270381    	    0.058323    	 1.045334 	 0.566574 	   0.237525 	   0.064675
mean80_max20		15.822932 	 6.082151  	  15.200019    	    5.379721    	 1.082014 	 0.582448 	   0.390730 	   0.067457
mean75_max25		1.116725 	 0.594390  	  0.292291    	    0.087810    	 1.049176 	 0.564994 	   0.311951 	   0.078322
mean70_max30		1.107991 	 0.578971  	  0.344130    	    0.073286    	 1.025692 	 0.579424 	   0.362960 	   0.084262
mean60_max40		1.122131 	 0.587817  	  0.281423    	    0.094612    	 1.120521 	 0.569519 	   0.243664 	   0.083575
mean50_max50		1.105024 	 0.556711  	  0.230592    	    0.078251    	 1.118678 	 0.576538 	   0.378993 	   0.110491
mean40_max60		1.073039 	 0.574358  	  0.270877    	    0.077711    	 1.095727 	 0.600309 	   0.518262 	   0.129658
mean30_max70		1.037931 	 0.565968  	  0.252989    	    0.066526    	 1.116341 	 0.579881 	   0.390940 	   0.120843
mean20_max80		1.113499 	 0.569454  	  0.318448    	    0.085722    	 1.103476 	 0.582449 	   0.298782 	   0.095809
mean10_max90		1.128393 	 0.645306  	  0.426097    	    0.166653    	 5.068524 	 2.934387 	   5.018796 	   2.815402

data14
mean100_max0		1.099244 	 0.577343  	  0.308826    	    0.071039    	 1.102614 	 0.579006 	   0.310241 	   0.071424
mean90_max10		1.177637 	 0.591972  	  0.483277    	    0.104344    	 1.199510 	 0.608450 	   0.464999 	   0.123276
mean80_max20		1.201872 	 0.593451  	  0.369120    	    0.108243    	 1.201872 	 0.593451 	   0.369120 	   0.108243
mean75_max25		1.196744 	 0.619960  	  0.518446    	    0.166421    	 1.146889 	 0.592912 	   0.369797 	   0.119247
mean70_max30		1.179910 	 0.609528  	  0.443436    	    0.136027    	 1.179910 	 0.609528 	   0.443436 	   0.136027
mean60_max40		3.169052 	 1.141170  	  3.058759    	    0.850681    	 2.250672 	 1.152882 	   2.080299 	   0.925523
mean50_max50		3.672686 	 1.052894  	  3.580607    	    0.791711    	 1.322879 	 0.676343 	   0.856162 	   0.281645
mean40_max60		1.221955 	 0.608248  	  0.515139    	    0.147336    	 1.221955 	 0.608248 	   0.515139 	   0.147336
mean30_max70		4.310478 	 1.462948  	  4.256573    	    1.238301    	 4.310478 	 1.462948 	   4.256573 	   1.238301
mean20_max80		5.546553 	 1.682280  	  5.499993    	    1.518508    	 3.341172 	 1.380769 	   3.205983 	   1.168703
mean10_max90		1.190602 	 0.591351  	  0.533921    	    0.128907    	 1.190602 	 0.591351 	   0.533921 	   0.128907

data15
mean100_max0		1.087641 	 0.593351  	  0.333321    	    0.072962    	 1.132740 	 0.594984 	   0.313686 	   0.075311
mean90_max10		1.166748 	 0.596562  	  0.453726    	    0.104215    	 1.232398 	 0.604000 	   0.415642 	   0.102584
mean80_max20		1.167978 	 0.595429  	  0.479644    	    0.114672    	 1.161600 	 0.592260 	   0.360394 	   0.113163
mean75_max25		1.161548 	 0.591336  	  0.402014    	    0.118924    	 1.161548 	 0.591336 	   0.402014 	   0.118924
mean70_max30		1.167774 	 0.592991  	  0.411766    	    0.117760    	 1.167774 	 0.592991 	   0.411766 	   0.117760
